INFO 2022-12-20 18:06:08 (28248) 	 /home/amirhossein/code/python/rammstein_lyrics_crawler/logger.py Fwrite L21 - 2  - Ich tu Dir Weh     - I hurt you         - https://affenknecht.com/lyrics/rammstein-ich-tu-dir-weh/
INFO 2022-12-20 18:06:08 (28305) 	 /home/amirhossein/code/python/rammstein_lyrics_crawler/logger.py Fwrite L21 - 3  - Waidmanns Heil     - Hunter’s Salutation - https://affenknecht.com/lyrics/rammstein-waidmanns-heil/
INFO 2022-12-20 18:06:08 (28362) 	 /home/amirhossein/code/python/rammstein_lyrics_crawler/logger.py Fwrite L21 - 4  - Haifisch           - Shark              - https://affenknecht.com/lyrics/rammstein-haifisch/
INFO 2022-12-20 18:06:08 (28419) 	 /home/amirhossein/code/python/rammstein_lyrics_crawler/logger.py Fwrite L21 - 5  - Bückstabü          - B******            - https://affenknecht.com/lyrics/rammstein-b/
INFO 2022-12-20 18:06:08 (28476) 	 /home/amirhossein/code/python/rammstein_lyrics_crawler/logger.py Fwrite L21 - 6  - Frühling in Paris  - Spring in Paris    - https://affenknecht.com/lyrics/rammstein-fruhling-in-paris/
INFO 2022-12-20 18:06:08 (28536) 	 /home/amirhossein/code/python/rammstein_lyrics_crawler/logger.py Fwrite L21 - 7  - Wiener Blut        - Viennese blood     - https://affenknecht.com/lyrics/rammstein-wiener-blut/
INFO 2022-12-20 18:06:08 (28600) 	 /home/amirhossein/code/python/rammstein_lyrics_crawler/logger.py Fwrite L21 - 8  - Pu**y              - Pu**y              - https://affenknecht.com/lyrics/rammstein-pussy-lyric-with-english-translation/
INFO 2022-12-20 18:06:08 (28668) 	 /home/amirhossein/code/python/rammstein_lyrics_crawler/logger.py Fwrite L21 - 9  - Liebe ist für alle da - There is love for everyone - https://affenknecht.com/lyrics/liebe/
INFO 2022-12-20 18:06:08 (28728) 	 /home/amirhossein/code/python/rammstein_lyrics_crawler/logger.py Fwrite L21 - 10 - Mehr               - More               - https://affenknecht.com/lyrics/rammstein-mehr/
INFO 2022-12-20 18:06:09 (28786) 	 /home/amirhossein/code/python/rammstein_lyrics_crawler/logger.py Fwrite L21 - 11 - Roter Sand         - Red sand           - https://affenknecht.com/lyrics/rammstein-roter-sand-lyric-with-english-translation/
INFO 2022-12-20 18:06:09 (28854) 	 /home/amirhossein/code/python/rammstein_lyrics_crawler/logger.py Fwrite L21 - 12 - Führe mich         - Lead me            - https://affenknecht.com/lyrics/rammstein-fuhre-mich/
INFO 2022-12-20 18:06:09 (28908) 	 /home/amirhossein/code/python/rammstein_lyrics_crawler/logger.py Fwrite L21 - 13 - Donaukinder        - Children of Danube - https://affenknecht.com/lyrics/rammstein-donaukinder/
INFO 2022-12-20 18:06:09 (28965) 	 /home/amirhossein/code/python/rammstein_lyrics_crawler/logger.py Fwrite L21 - 14 - Halt               - Stop               - https://affenknecht.com/lyrics/rammstein-halt/
